"","meet_name","meet_date","meet_location","start_time","race_group","place","name","class_year","team","avg_mile","time","score","url"
"1","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","
Place","","
Year","","
Avg. Mile","
Time","
Score","https://www.tfrrs.org/results/xc/12042.html"
"2","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","1","  Sedbrook, Cody","SR-4","     Minnesota-Duluth","5:03.1","15:41.9","1","https://www.tfrrs.org/results/xc/12042.html"
"3","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","2","  Overmyer, Isaac","JR-3","     Minnesota-Duluth","5:13.1","16:12.8","2","https://www.tfrrs.org/results/xc/12042.html"
"4","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","3","  Lahr, Luke","JR-3","     Minnesota-Duluth","5:14.4","16:16.8","3","https://www.tfrrs.org/results/xc/12042.html"
"5","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","4","  Lelinga, Ezekiel","FR-1","     Bethel (Minn.)","5:14.4","16:16.9","4","https://www.tfrrs.org/results/xc/12042.html"
"6","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","5","  Pulver, Grant","SR-4","     Minnesota-Duluth","5:17.1","16:25.1","5","https://www.tfrrs.org/results/xc/12042.html"
"7","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","6","  Primozich, Sam ","FR-1","     St. Olaf","5:17.7","16:27.2","6","https://www.tfrrs.org/results/xc/12042.html"
"8","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","7","  Leonard, Christian","FR-1","     Minnesota-Duluth","5:17.8","16:27.3","7","https://www.tfrrs.org/results/xc/12042.html"
"9","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","8","  Anderson, Blake","SR-4","     Minnesota-Duluth","5:19.0","16:31.0","8","https://www.tfrrs.org/results/xc/12042.html"
"10","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","9","  Hill, Kendall","SO-2","     Minnesota-Duluth","5:19.3","16:32.1","9","https://www.tfrrs.org/results/xc/12042.html"
"11","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","10","  Armbruster, Adam","JR-3","     Minnesota-Duluth","5:20.0","16:34.3"," ","https://www.tfrrs.org/results/xc/12042.html"
"12","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","11","  Lawson, Nick","JR-3","     Minnesota-Duluth","5:20.1","16:34.8"," ","https://www.tfrrs.org/results/xc/12042.html"
"13","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","12","  Smalley, Owen","FR-1","     Minnesota-Duluth","5:20.7","16:36.4"," ","https://www.tfrrs.org/results/xc/12042.html"
"14","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","13","  Kluver, Jake","SO-2","     Minnesota-Duluth","5:21.1","16:37.9"," ","https://www.tfrrs.org/results/xc/12042.html"
"15","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","14","  Lebourgeois, Cole","FR-1","     Minnesota-Duluth","5:21.6","16:39.3"," ","https://www.tfrrs.org/results/xc/12042.html"
"16","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","15","  Kubat, Braydon","FR-1","     Minnesota-Duluth","5:22.7","16:42.7"," ","https://www.tfrrs.org/results/xc/12042.html"
"17","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","16","  Naughton, Alex","SR-4","     Minnesota-Duluth","5:23.5","16:45.2"," ","https://www.tfrrs.org/results/xc/12042.html"
"18","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","17","  Peterson, Josh","SR-4","     Minnesota-Duluth","5:25.4","16:51.1"," ","https://www.tfrrs.org/results/xc/12042.html"
"19","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","18","  McHugh, Tommy ","FR-1","     St. Olaf","5:26.8","16:55.4","10","https://www.tfrrs.org/results/xc/12042.html"
"20","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","19","  Midtvedt, Wyatt","SO-2","     Minnesota-Duluth","5:29.4","17:03.5"," ","https://www.tfrrs.org/results/xc/12042.html"
"21","Augsburg Open"," 09/02/17","Augsburg, Minneapolis, MN 55454","","Men's 5000 Meters Team Results (5k)  Top<U+2191>","20","  Johnson, Adrian","FR-1","     Macalester","5:30.0","17:05.2","11","https://www.tfrrs.org/results/xc/12042.html"
